Ammo_12Ga, Consumable, 70, Common
Ammo_50BMG, Consumable, 100, Common
Ammo_556, Consumable, 100, Common
Ammo_762, Consumable, 120, Common
Ammo_9mm, Consumable, 50, Common
Ammo_EnergyCell, Consumable, 100, Common
AmuletCharge, Consumable, 1000, Common
Attachment_A12CMuzzleBrake, Attachment, 480, Rare
Attachment_AssaultScope, Attachment, 500, Rare
Attachment_BarrelExtension2i, Attachment, 480, Rare
Attachment_BarrelExtension4i, Attachment, 480, Rare
Attachment_BarrelExtension6i, Attachment, 480, Rare
Attachment_BreznikBMD, Attachment, 480, Rare
Attachment_BreznikBMDTactical, Attachment, 480, Rare
Attachment_CompactSight, Attachment, 500, Rare
Attachment_GunCrank, Attachment, 680, Uncommon
Attachment_HauklandFlashHider, Attachment, 480, Rare
Attachment_HolographicSight, Attachment, 230, Uncommon
Attachment_HuntingScope, Attachment, 550, Rare
Attachment_ImprovisedBarrelExtension, Attachment, 300, Common
Attachment_Insurance, Attachment, 10000, Legendary
Attachment_LaserSightGreen, Attachment, 280, Uncommon
Attachment_LaserSightRed, Attachment, 280, Uncommon
Attachment_LaserSightYellow, Attachment, 500, Uncommon
Attachment_PrimingBolt, Attachment, 680, Uncommon
Attachment_ReconScope, Attachment, 280, Rare
Attachment_ReflexSight, Attachment, 320, Uncommon
Attachment_ShroudedBarrelExtension, Attachment, 480, Rare
Attachment_SniperScope, Attachment, 700, Rare
Attachment_Suppressor556, Attachment, 890, Rare
Attachment_Suppressor762, Attachment, 740, Rare
Attachment_Suppressor9mm, Attachment, 580, Rare
Attachment_SuppressorCan, Attachment, 550, Rare
Attachment_WarmageCompensator, Attachment, 480, Rare
Consumable_ChamberChisel12ga, Gadget, 15000, Rare
Consumable_ChamberChisel50BMG, Gadget, 3400, Rare
Consumable_ChamberChisel556, Gadget, 2200, Rare
Consumable_ChamberChisel762, Gadget, 3000, Rare
Consumable_ChamberChisel9mm, Gadget, 700, Rare
Currency_SulfBill, Consumable, 100, Common
Currency_SulfCoin, Consumable, 100, Common
Currency_SulfTwenny, Consumable, 100, Common
Enchantment_ActionOil, Enchantment, 700, Rare
Enchantment_AddDamageOil, Enchantment, 500, Rare
Enchantment_Aftershock, Enchantment, 5000, Legendary
Enchantment_AimlessOil, Enchantment, 800, Rare
Enchantment_AirSoftOil, Enchantment, 650, Rare
Enchantment_AltruisticOil, Enchantment, 800, Rare
Enchantment_ArkanoidOil, Enchantment, 1200, Rare
Enchantment_ArrowOil, Enchantment, 200, Rare
Enchantment_ArteryOil, Enchantment, 300, Rare
Enchantment_ArtilleryOil, Enchantment, 650, Rare
Enchantment_AsceticOil, Enchantment, 350, Rare
Enchantment_AssassinDartOil, Enchantment, 250, Rare
Enchantment_AttackSpeedOil, Enchantment, 800, Rare
Enchantment_AxeOil, Enchantment, 300, Rare
Enchantment_BadPlanetOil, Enchantment, 500, Rare
Enchantment_BanditOil, Enchantment, 600, Rare
Enchantment_BBOil, Enchantment, 650, Rare
Enchantment_Big, Enchantment, 400, Rare
Enchantment_BigOil, Enchantment, 500, Rare
Enchantment_BigTaxOil, Enchantment, 220, Rare
Enchantment_BirthOil, Enchantment, 100, Rare
Enchantment_BlackFridayOil, Enchantment, 300, Rare
Enchantment_BlindfoldOil, Enchantment, 700, Rare
Enchantment_BlurtOil, Enchantment, 300, Rare
Enchantment_BoltOil, Enchantment, 370, Rare
Enchantment_BombardOil, Enchantment, 600, Rare
Enchantment_BoomstickOil, Enchantment, 700, Rare
Enchantment_BoulderOil, Enchantment, 800, Rare
Enchantment_Bounce, Enchantment, 400, Rare
Enchantment_BowlOil, Enchantment, 800, Rare
Enchantment_BracedOil, Enchantment, 800, Rare
Enchantment_Brutality, Enchantment, 600, Rare
Enchantment_BruteOil, Enchantment, 700, Rare
Enchantment_BulkOil, Enchantment, 650, Rare
Enchantment_BystanderOil, Enchantment, 500, Rare
Enchantment_CarefreeOil, Enchantment, 800, Rare
Enchantment_CarefulOil, Enchantment, 800, Rare
Enchantment_CarelessSplitterOil, Enchantment, 650, Rare
Enchantment_CartoonOil, Enchantment, 1000, Rare
Enchantment_CasualOil, Enchantment, 1000, Rare
Enchantment_ChainLightning, Enchantment, 4000, Legendary
Enchantment_ChaosStrike, Enchantment, 2000, Legendary
Enchantment_Charm, Enchantment, 2000, Legendary
Enchantment_CheapOil, Enchantment, 700, Rare
Enchantment_ChonkOil, Enchantment, 200, Rare
